binary_package	binary_version	source_package	source_version	repo_relative_path	source_directory	repo_url
liblzo2-2	2.10-2	lzo2	2.10-2	lzo2/2.10-2/lzo2_2.10.orig.tar.gz	lzo2/2.10-2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/lzo2/2.10-2/lzo2_2.10.orig.tar.gz
libmagic1	1:5.44-3	file	1:5.44-3	file/1%3a5.44-3/file_5.44-3.debian.tar.xz	file/1%3a5.44-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/file/1%253a5.44-3/file_5.44-3.debian.tar.xz
libmagic1	1:5.44-3	file	1:5.44-3	file/1%3a5.44-3/file_5.44-3.dsc	file/1%3a5.44-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/file/1%253a5.44-3/file_5.44-3.dsc
libmagic1	1:5.44-3	file	1:5.44-3	file/1%3a5.44-3/file_5.44.orig.tar.gz	file/1%3a5.44-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/file/1%253a5.44-3/file_5.44.orig.tar.gz
libmagic1	1:5.44-3	file	1:5.44-3	file/1%3a5.44-3/file_5.44.orig.tar.gz.asc	file/1%3a5.44-3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/file/1%253a5.44-3/file_5.44.orig.tar.gz.asc
libmariadb-dev	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2	mariadb/1%3a10.11.14-0+deb12u2/mariadb_10.11.14-0+deb12u2.debian.tar.xz	mariadb/1%3a10.11.14-0+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mariadb/1%253a10.11.14-0+deb12u2/mariadb_10.11.14-0+deb12u2.debian.tar.xz
libmariadb-dev	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2	mariadb/1%3a10.11.14-0+deb12u2/mariadb_10.11.14-0+deb12u2.dsc	mariadb/1%3a10.11.14-0+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mariadb/1%253a10.11.14-0+deb12u2/mariadb_10.11.14-0+deb12u2.dsc
libmariadb-dev	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2	mariadb/1%3a10.11.14-0+deb12u2/mariadb_10.11.14.orig.tar.gz	mariadb/1%3a10.11.14-0+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mariadb/1%253a10.11.14-0+deb12u2/mariadb_10.11.14.orig.tar.gz
libmariadb-dev	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2	mariadb/1%3a10.11.14-0+deb12u2/mariadb_10.11.14.orig.tar.gz.asc	mariadb/1%3a10.11.14-0+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mariadb/1%253a10.11.14-0+deb12u2/mariadb_10.11.14.orig.tar.gz.asc
libmariadb3	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2	mariadb/1%3a10.11.14-0+deb12u2/mariadb_10.11.14-0+deb12u2.debian.tar.xz	mariadb/1%3a10.11.14-0+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mariadb/1%253a10.11.14-0+deb12u2/mariadb_10.11.14-0+deb12u2.debian.tar.xz
libmariadb3	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2	mariadb/1%3a10.11.14-0+deb12u2/mariadb_10.11.14-0+deb12u2.dsc	mariadb/1%3a10.11.14-0+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mariadb/1%253a10.11.14-0+deb12u2/mariadb_10.11.14-0+deb12u2.dsc
libmariadb3	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2	mariadb/1%3a10.11.14-0+deb12u2/mariadb_10.11.14.orig.tar.gz	mariadb/1%3a10.11.14-0+deb12u2	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/mariadb/1%253a10.11.14-0+deb12u2/mariadb_10.11.14.orig.tar.gz
