binary_package	binary_version	source_package	source_version
qt5-qmake	5.15.8+dfsg-11+deb12u3	qtbase-opensource-src	5.15.8+dfsg-11+deb12u3
qtbase5-dev	5.15.8+dfsg-11+deb12u3	qtbase-opensource-src	5.15.8+dfsg-11+deb12u3
rpcsvc-proto	1.4.3-1	rpcsvc-proto	1.4.3-1
shared-mime-info	2.2-1	shared-mime-info	2.2-1
sudo	1.9.13p3-1+deb12u3	sudo	1.9.13p3-1+deb12u3
systemd	252.39-1~deb12u1	systemd	252.39-1~deb12u1
unixodbc-dev	2.3.11-2+deb12u1	unixodbc	2.3.11-2+deb12u1
uuid-dev	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
wayland-protocols	1.31-1	wayland-protocols	1.31-1
x11proto-dev	2022.1-1	xorgproto	2022.1-1
xkb-data	2.35.1-1	xkeyboard-config	2.35.1-1
xorg-sgml-doctools	1:1.11-1.1	xorg-sgml-doctools	1:1.11-1.1
xtrans-dev	1.4.0-1	xtrans	1.4.0-1
zlib1g	1:1.2.13.dfsg-1	zlib	1:1.2.13.dfsg-1
zlib1g-dev	1:1.2.13.dfsg-1	zlib	1:1.2.13.dfsg-1
